"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","1,477.37","1,474.66","1,483.69","1,471.13","","0.26%"
"2024- 04- 29","1,473.51","1,473.70","1,483.59","1,472.24","","0.12%"
"2024- 04- 26","1,471.68","1,472.26","1,480.02","1,468.61","","0.02%"
"2024- 04- 25","1,471.39","1,474.10","1,477.40","1,470.31","","-0.11%"
"2024- 04- 24","1,473.01","1,470.14","1,474.92","1,464.05","","0.27%"
"2024- 04- 23","1,469.03","1,469.68","1,474.52","1,465.29","","0.03%"
"2024- 04- 22","1,468.62","1,465.12","1,475.86","1,464.47","","0.30%"
"2024- 04- 19","1,464.18","1,469.43","1,479.81","1,464.26","","-0.27%"
"2024- 04- 18","1,468.11","1,473.02","1,475.62","1,463.68","","-0.22%"
"2024- 04- 17","1,471.38","1,475.98","1,478.59","1,468.46","","-0.26%"
"2024- 04- 16","1,475.23","1,474.67","1,486.48","1,473.89","","0.14%"
"2024- 04- 15","1,473.18","1,468.54","1,479.31","1,467.84","","0.33%"
"2024- 04- 12","1,468.27","1,467.84","1,475.68","1,465.57","","0.16%"
"2024- 04- 11","1,465.98","1,465.51","1,472.31","1,462.92","","0.11%"
"2024- 04- 10","1,464.32","1,468.31","1,470.41","1,456.15","","-0.15%"
"2024- 04- 09","1,466.54","1,471.43","1,473.23","1,465.92","","-0.22%"
"2024- 04- 08","1,469.80","1,465.18","1,472.10","1,462.92","","0.42%"
"2024- 04- 05","1,463.71","1,464.79","1,467.80","1,458.17","","-0.01%"
"2024- 04- 04","1,463.90","1,457.96","1,465.37","1,455.41","","0.47%"
"2024- 04- 03","1,457.03","1,455.94","1,462.73","1,450.82","","0.12%"
"2024- 04- 02","1,455.24","1,454.32","1,457.56","1,446.76","","0.09%"
"2024- 04- 01","1,453.89","1,452.45","1,456.81","1,449.48","","0.17%"
"2024- 03- 29","1,451.49","1,457.60","1,457.99","1,448.33","","-0.29%"
"2024- 03- 28","1,455.68","1,462.31","1,462.80","1,453.41","","-0.39%"
"2024- 03- 27","1,461.32","1,455.93","1,465.62","1,452.91","","0.48%"
"2024- 03- 26","1,454.35","1,451.83","1,458.57","1,446.81","","0.25%"
"2024- 03- 25","1,450.77","1,453.58","1,455.56","1,444.19","","-0.06%"
"2024- 03- 22","1,451.58","1,450.25","1,457.43","1,444.92","","0.19%"
"2024- 03- 21","1,448.80","1,453.01","1,455.96","1,444.23","","-0.19%"
"2024- 03- 20","1,451.60","1,453.31","1,458.27","1,451.49","","-0.09%"
"2024- 03- 19","1,452.91","1,453.73","1,458.30","1,450.97","","0.02%"
"2024- 03- 18","1,452.59","1,449.84","1,455.57","1,447.35","","0.27%"
"2024- 03- 15","1,448.66","1,441.68","1,451.67","1,439.06","","0.60%"
"2024- 03- 14","1,440.02","1,438.49","1,443.38","1,436.11","","0.14%"
"2024- 03- 13","1,437.94","1,434.15","1,441.49","1,430.68","","0.36%"
"2024- 03- 12","1,432.82","1,433.16","1,436.94","1,428.78","","0.05%"
"2024- 03- 11","1,432.11","1,441.88","1,442.94","1,429.49","","-0.50%"
"2024- 03- 08","1,439.31","1,449.74","1,452.94","1,438.05","","-0.62%"
"2024- 03- 07","1,448.25","1,449.69","1,453.10","1,442.24","","0.00%"
"2024- 03- 06","1,448.25","1,451.13","1,452.69","1,446.83","","-0.09%"
"2024- 03- 05","1,449.58","1,446.07","1,452.92","1,443.88","","0.35%"
"2024- 03- 04","1,444.55","1,444.13","1,447.67","1,439.96","","0.19%"
"2024- 03- 01","1,441.88","1,443.34","1,446.63","1,441.20","","0.00%"
"2024- 02- 29","1,441.90","1,447.19","1,450.23","1,441.71","","-0.25%"
"2024- 02- 28","1,445.58","1,445.04","1,449.60","1,441.93","","0.08%"
"2024- 02- 27","1,444.48","1,445.48","1,446.89","1,442.44","","-0.03%"
"2024- 02- 26","1,444.98","1,440.94","1,446.83","1,437.07","","0.43%"
"2024- 02- 23","1,438.74","1,437.03","1,443.70","1,436.05","","0.16%"
"2024- 02- 22","1,436.50","1,442.56","1,444.64","1,434.76","","-0.38%"
"2024- 02- 21","1,441.95","1,441.51","1,445.84","1,439.83","","0.07%"
"2024- 02- 20","1,440.89","1,438.88","1,444.60","1,437.86","","0.25%"
"2024- 02- 19","1,437.35","1,436.06","1,441.14","1,434.74","","0.21%"
"2024- 02- 16","1,434.33","1,431.29","1,438.57","1,431.02","","0.23%"
"2024- 02- 15","1,430.98","1,427.64","1,435.15","1,427.44","","0.31%"
"2024- 02- 14","1,426.59","1,436.38","1,437.01","1,426.46","","-0.62%"
"2024- 02- 13","1,435.52","1,431.79","1,438.90","1,422.17","","0.32%"
"2024- 02- 12","1,430.97","1,435.53","1,438.99","1,429.77","","-0.22%"
"2024- 02- 09","1,434.08","1,436.23","1,438.80","1,431.96","","-0.04%"
"2024- 02- 08","1,434.60","1,431.39","1,437.63","1,428.06","","0.27%"
"2024- 02- 07","1,430.70","1,427.41","1,432.34","1,423.01","","0.26%"
"2024- 02- 06","1,426.92","1,433.05","1,433.90","1,424.61","","-0.35%"
"2024- 02- 05","1,431.91","1,444.14","1,444.54","1,431.10","","-0.74%"
"2024- 02- 02","1,442.64","1,445.69","1,446.44","1,429.27","","-0.13%"
"2024- 02- 01","1,444.57","1,443.62","1,448.06","1,437.40","","0.15%"
"2024- 01- 31","1,442.41","1,441.69","1,449.02","1,437.45","","0.12%"
"2024- 01- 30","1,440.66","1,444.84","1,445.72","1,435.94","","-0.23%"
"2024- 01- 29","1,444.00","1,450.67","1,452.20","1,439.81","","-0.46%"
"2024- 01- 26","1,450.64","1,449.72","1,453.33","1,445.38","","0.09%"
"2024- 01- 25","1,449.32","1,451.10","1,458.52","1,445.79","","-0.02%"
"2024- 01- 24","1,449.59","1,453.46","1,456.13","1,448.40","","-0.10%"
"2024- 01- 23","1,451.05","1,457.82","1,459.24","1,448.84","","-0.41%"
"2024- 01- 22","1,457.02","1,453.34","1,462.01","1,450.60","","0.26%"
"2024- 01- 19","1,453.29","1,457.02","1,458.09","1,449.04","","-0.15%"
"2024- 01- 18","1,455.41","1,463.61","1,466.27","1,452.30","","-0.47%"
"2024- 01- 17","1,462.35","1,456.30","1,466.94","1,453.99","","0.50%"
"2024- 01- 16","1,455.08","1,446.17","1,458.89","1,444.84","","0.70%"
"2024- 01- 15","1,444.94","1,439.15","1,450.37","1,437.32","","0.49%"
"2024- 01- 12","1,437.84","1,442.59","1,446.49","1,433.43","","-0.24%"
"2024- 01- 11","1,441.30","1,447.74","1,448.81","1,438.67","","-0.39%"
"2024- 01- 10","1,447.00","1,443.60","1,448.80","1,440.42","","0.30%"
"2024- 01- 09","1,442.72","1,436.96","1,446.30","1,433.91","","0.45%"
"2024- 01- 08","1,436.26","1,439.44","1,446.04","1,436.40","","-0.11%"
"2024- 01- 05","1,437.82","1,439.06","1,445.30","1,433.43","","0.06%"
