"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","1,730.48","1,727.64","1,735.79","1,724.21","","0.22%"
"2024- 04- 29","1,726.72","1,721.17","1,733.94","1,719.52","","0.45%"
"2024- 04- 26","1,719.02","1,717.13","1,726.76","1,712.91","","0.17%"
"2024- 04- 25","1,716.05","1,717.21","1,723.25","1,712.42","","0.01%"
"2024- 04- 24","1,715.92","1,710.42","1,718.27","1,702.81","","0.39%"
"2024- 04- 23","1,709.17","1,703.40","1,712.61","1,698.42","","0.39%"
"2024- 04- 22","1,702.59","1,701.19","1,713.84","1,697.52","","0.14%"
"2024- 04- 19","1,700.15","1,716.81","1,728.74","1,700.51","","-0.88%"
"2024- 04- 18","1,715.30","1,718.76","1,722.28","1,709.06","","-0.09%"
"2024- 04- 17","1,716.82","1,727.15","1,730.61","1,717.42","","-0.55%"
"2024- 04- 16","1,726.31","1,727.56","1,741.04","1,726.21","","0.02%"
"2024- 04- 15","1,726.01","1,719.04","1,732.35","1,717.61","","0.50%"
"2024- 04- 12","1,717.44","1,717.85","1,727.35","1,715.21","","0.11%"
"2024- 04- 11","1,715.60","1,710.48","1,721.06","1,707.44","","0.36%"
"2024- 04- 10","1,709.47","1,714.59","1,718.97","1,701.48","","-0.18%"
"2024- 04- 09","1,712.57","1,714.79","1,719.41","1,710.94","","-0.02%"
"2024- 04- 08","1,712.94","1,707.73","1,716.33","1,705.22","","0.35%"
"2024- 04- 05","1,707.01","1,708.76","1,710.58","1,698.51","","-0.04%"
"2024- 04- 04","1,707.77","1,702.43","1,709.47","1,699.37","","0.38%"
"2024- 04- 03","1,701.23","1,700.37","1,705.44","1,693.60","","0.09%"
"2024- 04- 02","1,699.72","1,699.13","1,702.74","1,693.68","","0.08%"
"2024- 04- 01","1,698.44","1,700.58","1,705.00","1,696.80","","0.04%"
"2024- 03- 29","1,697.77","1,705.21","1,706.45","1,696.09","","-0.33%"
"2024- 03- 28","1,703.31","1,707.09","1,708.55","1,696.33","","-0.15%"
"2024- 03- 27","1,705.90","1,697.19","1,708.82","1,693.06","","0.62%"
"2024- 03- 26","1,695.40","1,692.83","1,699.53","1,687.19","","0.23%"
"2024- 03- 25","1,691.49","1,694.53","1,698.55","1,683.63","","-0.08%"
"2024- 03- 22","1,692.86","1,690.29","1,696.98","1,684.42","","0.26%"
"2024- 03- 21","1,688.40","1,701.29","1,703.98","1,687.14","","-0.64%"
"2024- 03- 20","1,699.22","1,701.55","1,706.95","1,699.19","","-0.10%"
"2024- 03- 19","1,700.97","1,702.02","1,706.27","1,696.30","","0.02%"
"2024- 03- 18","1,700.59","1,694.74","1,703.39","1,693.00","","0.32%"
"2024- 03- 15","1,695.09","1,689.40","1,698.71","1,685.13","","0.45%"
"2024- 03- 14","1,687.51","1,681.85","1,690.51","1,678.52","","0.39%"
"2024- 03- 13","1,680.99","1,678.58","1,687.22","1,674.95","","0.20%"
"2024- 03- 12","1,677.71","1,680.73","1,684.73","1,671.61","","-0.10%"
"2024- 03- 11","1,679.32","1,694.90","1,696.04","1,677.92","","-0.75%"
"2024- 03- 08","1,691.98","1,695.91","1,699.91","1,688.12","","-0.14%"
"2024- 03- 07","1,694.35","1,693.38","1,697.99","1,689.67","","0.15%"
"2024- 03- 06","1,691.74","1,698.13","1,699.67","1,692.53","","-0.27%"
"2024- 03- 05","1,696.36","1,690.63","1,701.07","1,688.02","","0.44%"
